start	end	read depth
1804000	1805999	0
1806000	1807999	0
1808000	1809999	0
1810000	1811999	0
1812000	1813999	0
1814000	1815999	0
1816000	1817999	0
1818000	1819999	0
1820000	1821999	0
1822000	1823999	0
1824000	1825999	0
1826000	1827999	0
1828000	1829999	0
1830000	1831999	0
1832000	1833999	0
1834000	1835999	0
1836000	1837999	0
1838000	1839999	0
1840000	1841999	0
1842000	1843999	0
1844000	1845999	0
1846000	1847999	0
1848000	1849999	0
1850000	1851999	0
1852000	1853999	0
1854000	1855999	0
1856000	1857999	0
1858000	1859999	0
1860000	1861999	0
1862000	1863999	0
1864000	1865999	0
1866000	1867999	0
1868000	1869999	0
1870000	1871999	0
1872000	1873999	0
1874000	1875999	0
1876000	1877999	0
1878000	1879999	0
1880000	1881999	0
1882000	1883999	0
1884000	1885999	0
1886000	1887999	0
1888000	1889999	0
1890000	1891999	0
1892000	1893999	0
1894000	1895999	0
1896000	1897999	0
1898000	1899999	0
1900000	1901999	0
1902000	1903999	0
1904000	1905999	0
1906000	1907999	0
1908000	1909999	0
1910000	1911999	0
1912000	1913999	0
1914000	1915999	0
1916000	1917999	0
1918000	1919999	0
1920000	1921999	0
1922000	1923999	0
1924000	1925999	0
1926000	1927999	0
1928000	1929999	0
1930000	1931999	0
1932000	1933999	0
1934000	1935999	0
1936000	1937999	0
1938000	1939999	0
1940000	1941999	0
1942000	1943999	0
1944000	1945999	0
1946000	1947999	0
1948000	1949999	0
1950000	1951999	0
1952000	1953999	0
1954000	1955999	0
1956000	1957999	0
1958000	1959999	0
1960000	1961999	0
1962000	1963999	0
1964000	1965999	0
1966000	1967999	0
1968000	1969999	0
1970000	1971999	0
1972000	1973999	0
1974000	1975999	0
1976000	1977999	0
1978000	1979999	0
1980000	1981999	0
1982000	1983999	0
1984000	1985999	0
1986000	1987999	0
1988000	1989999	0
1990000	1991999	0
1992000	1993999	0
1994000	1995999	0
1996000	1997999	0
1998000	1999999	0
2000000	2001999	0
2002000	2003999	0
2004000	2005999	0
2006000	2007999	0
2008000	2009999	0
2010000	2011999	0
2012000	2013999	0
2014000	2015999	0
2016000	2017999	0
2018000	2019999	0
2020000	2021999	0
2022000	2023999	0
2024000	2025999	0
2026000	2027999	0
2028000	2029999	0
2030000	2031999	0
2032000	2033999	0
2034000	2035999	0
2036000	2037999	0
2038000	2039999	0
2040000	2041999	0
2042000	2043999	0
2044000	2045999	0
2046000	2047999	0
2048000	2049999	0
2050000	2051999	0
2052000	2053999	0
2054000	2055999	0
2056000	2057999	0
2058000	2059999	0
2060000	2061999	0
2062000	2063999	0
2064000	2065999	0
2066000	2067999	0
2068000	2069999	0
2070000	2071999	0
2072000	2073999	0
2074000	2075999	0
2076000	2077999	0
2078000	2079999	0
2080000	2081999	0
2082000	2083999	0
2084000	2085999	0
2086000	2087999	0
2088000	2089999	0
2090000	2091999	0
2092000	2093999	0
2094000	2095999	0
2096000	2097999	0
2098000	2099999	0
2100000	2101999	0
2102000	2103999	0
2104000	2105999	0
2106000	2107999	0
2108000	2109999	0
2110000	2111999	0
2112000	2113999	0
2114000	2115999	0
2116000	2117999	0
2118000	2119999	0
2120000	2121999	0
2122000	2123999	0
2124000	2125999	0
2126000	2127999	0
2128000	2129999	0
2130000	2131999	0
2132000	2133999	0
2134000	2135999	0
2136000	2137999	0
2138000	2139999	0
2140000	2141999	0
2142000	2143999	0
2144000	2145999	0
2146000	2147999	0
2148000	2149999	0
2150000	2151999	0
2152000	2153999	0
2154000	2155999	0
2156000	2157999	0
2158000	2159999	0
2160000	2161999	0
2162000	2163999	0
2164000	2165999	0
2166000	2167999	0
2168000	2169999	0
2170000	2171999	0
2172000	2173999	0
2174000	2175999	0
2176000	2177999	0
2178000	2179999	0
2180000	2181999	0
2182000	2183999	0
2184000	2185999	0
2186000	2187999	0
2188000	2189999	0
2190000	2191999	0
2192000	2193999	0
2194000	2195999	0
2196000	2197999	0
2198000	2199999	0
2200000	2201999	0
2202000	2203999	0
2204000	2205999	0
2206000	2207999	0
2208000	2209999	0
2210000	2211999	0
2212000	2213999	0
2214000	2215999	0
2216000	2217999	0
2218000	2219999	0
2220000	2221999	0
2222000	2223999	0
2224000	2225999	0
2226000	2227999	0
2228000	2229999	0
2230000	2231999	0
2232000	2233999	0
2234000	2235999	0
2236000	2237999	0
2238000	2239999	0
2240000	2241999	0
2242000	2243999	0
2244000	2245999	0
2246000	2247999	0
2248000	2249999	0
2250000	2251999	0
2252000	2253999	0
2254000	2255999	0
2256000	2257999	0
2258000	2259999	0
2260000	2261999	0
2262000	2263999	0
2264000	2265999	0
2266000	2267999	0
2268000	2269999	0
2270000	2271999	0
2272000	2273999	0
2274000	2275999	0
2276000	2277999	0
2278000	2279999	0
2280000	2281999	0
2282000	2283999	0
2284000	2285999	0
2286000	2287999	0
2288000	2289999	0
2290000	2291999	0
2292000	2293999	0
2294000	2295999	0
2296000	2297999	0
2298000	2299999	0
2300000	2301999	0
2302000	2303999	0
2304000	2305999	0
2306000	2307999	0
2308000	2309999	0
2310000	2311999	0
2312000	2313999	0
2314000	2315999	0
2316000	2317999	0
2318000	2319999	0
2320000	2321999	0
2322000	2323999	0
2324000	2325999	0
2326000	2327999	0
2328000	2329999	0
2330000	2331999	0
2332000	2333999	0
2334000	2335999	0
2336000	2337999	0
2338000	2339999	0
2340000	2341999	0
2342000	2343999	0
2344000	2345999	0
2346000	2347999	0
2348000	2349999	0
2350000	2351999	0
2352000	2353999	0
2354000	2355999	0
2356000	2357999	0
2358000	2359999	0
2360000	2361999	0
2362000	2363999	0
2364000	2365999	0
2366000	2367999	0
2368000	2369999	0
2370000	2371999	0
2372000	2373999	0
2374000	2375999	0
2376000	2377999	0
2378000	2379999	0
2380000	2381999	0
2382000	2383999	0
2384000	2385999	0
2386000	2387999	0
2388000	2389999	0
2390000	2391999	0
2392000	2393999	0
2394000	2395999	0
